"","WB_1","WB_2","WB_3","WB_4","WB_5","WB_6","PBMC_1","PBMC_2","PBMC_3","PBMC_4","PBMC_5","PBMC_6","Gran_1","Gran_2","Gran_3","Gran_4","Gran_5","Gran_6","CD4+_1","CD4+_2","CD4+_3","CD4+_4","CD4+_5","CD4+_6","CD8+_1","CD8+_2","CD8+_3","CD8+_4","CD8+_5","CD8+_6","CD14+_1","CD14+_2","CD14+_3","CD14+_4","CD14+_5","CD14+_6","CD19+_1","CD19+_2","CD19+_3","CD19+_4","CD19+_5","CD19+_6","CD56+_1","CD56+_2","CD56+_3","CD56+_4","CD56+_5","CD56+_6","Neu_1","Neu_2","Neu_3","Neu_4","Neu_5","Neu_6","Eos_1","Eos_2","Eos_3","Eos_4","Eos_5","Eos_6"
"cg04153882",0.90663138,0.88411811,0.91240382,0.8836307,0.93692958,0.90550865,0.89861043,0.86295186,0.94879439,0.8039212,0.87853871,0.84327596,0.95128265,0.94486929,0.95163136,0.96119961,0.97312183,0.95936071,0.94992458,0.9740852,0.96742619,0.96346715,0.96515181,0.97459398,0.92785699,0.96016649,0.94013727,0.95169087,0.97247973,0.93724991,0.92311802,0.9139023,0.91042554,0.92958066,0.94228299,0.93519147,0.11444135,0.08494078,0.18438669,0.11365464,0.12833823,0.12140107,0.88855163,0.89787967,0.92684612,0.89703507,0.88859235,0.95228892,0.93477801,0.90746506,0.93142921,0.90897706,0.93775711,0.93360835,0.82053429,0.8250075,0.86454817,0.78579931,0.89492469,0.85363329
"cg16210395",0.84923258,0.87443577,0.88026889,0.83445614,0.91511685,0.8847875,0.81894005,0.81015099,0.90601968,0.7695108,0.86515835,0.80616084,0.90652426,0.92424317,0.93892466,0.91575548,0.92821724,0.94520474,0.86686468,0.90624932,0.91685398,0.87668461,0.92699381,0.91448426,0.73247481,0.80049161,0.87390164,0.8731877,0.90685611,0.83475052,0.93428797,0.96605029,0.92618663,0.91559568,0.92230567,0.91325871,0.09228586,0.06946384,0.13271052,0.06117283,0.10328386,0.10279782,0.77940124,0.78423078,0.84810531,0.86477377,0.83952202,0.85011944,0.92542629,0.88498999,0.92350232,0.9237649,0.93902087,0.91143019,0.9445175,0.91196715,0.91944108,0.9018339,0.93638738,0.92091036
"cg17232476",0.87058842,0.89482757,0.86280938,0.85809225,0.89226468,0.86214953,0.85979762,0.81654416,0.83736599,0.80278546,0.83505141,0.85265979,0.90965769,0.91072869,0.92380121,0.91054903,0.90984056,0.92739064,0.91302134,0.90299787,0.9187886,0.88680334,0.904724,0.89888627,0.8663318,0.87192749,0.88206494,0.88821638,0.89283944,0.91866173,0.87658456,0.89080071,0.86216029,0.85823434,0.84262123,0.86085539,0.091703,0.05380983,0.12940135,0.08659473,0.09991429,0.13287408,0.90820929,0.87607736,0.8913071,0.87435092,0.88805846,0.90478015,0.92905573,0.93696143,0.91582752,0.90513557,0.9242339,0.92782615,0.91343871,0.92411406,0.91084611,0.92066598,0.91981173,0.90777229
"cg03248292",0.90825809,0.92241227,0.80348056,0.72730422,0.85478758,0.91351771,0.72990148,0.81783856,0.84127847,0.76348917,0.80353838,0.81974887,0.85358749,0.88031533,0.83803327,0.85125755,0.91133734,0.89619326,0.83488422,0.87598155,0.86945595,0.93392508,0.89099205,0.94933364,0.7595819,0.85123682,0.8271406,0.87956951,0.94982896,0.81769917,0.83937753,0.90107415,0.82424468,0.81229914,0.89078225,0.8978122,0.05924411,0,0.08395682,0.03637385,0.09983363,0.08801544,0.80995741,0.82176476,0.80393878,0.84303448,0.84671564,0.88904192,0.85578152,0.85116177,0.83645851,0.86800631,0.90160459,0.83339203,0.85926225,0.86866939,0.78480205,0.81805746,0.85870809,0.9069738
"cg05579731",0.81538261,0.86457346,0.93702701,0.84238675,0.88594937,0.81313832,0.84294338,0.84542098,0.84302936,0.78089546,0.90620431,0.82766258,0.90570295,0.9006061,0.89628154,0.89149868,0.9091717,0.88000113,0.87244677,0.87992834,0.88484724,0.85326778,0.8758663,0.94103314,0.83016122,0.86936628,0.89107154,0.88953576,0.87436605,0.87948091,0.90047975,0.91949226,0.94865148,0.8822946,0.92394708,0.88946926,0.07536545,0.04738678,0.15203363,0.09060777,0.07669355,0.11577153,0.79474653,0.8496208,0.86883743,0.92571698,0.88134068,0.86448613,0.90700067,0.88856774,0.89988396,0.90327155,0.91013925,0.90033914,0.88155547,0.89592056,0.89960972,0.89215203,0.89246321,0.903582
"cg04838847",0.9477809,0.9534044,0.9568394,0.9163828,0.9506353,0.9433189,0.931019,0.8976771,0.9471319,0.8662081,0.8923272,0.8907879,0.9817094,0.9894427,0.993311,0.9861313,0.9886035,0.9721685,0.99025,0.9920059,0.9887351,0.9687438,0.9813208,0.9945696,0.9867512,0.985614,0.9814875,0.9796336,0.9829681,0.9813296,0.9791694,0.9712208,0.9786156,0.9543331,0.9823485,0.9755941,0.1624036,0.17476,0.1993133,0.1849463,0.1280192,0.2326871,0.9840377,0.9746549,0.972853,0.9730277,0.9558492,0.9746093,0.984708,0.9771516,0.9747264,0.9827452,0.9583991,0.978984,0.9833859,0.9788227,0.9904896,0.9601598,0.9907432,0.9883873
"cg17679619",0.86681443,0.90422236,0.87895262,0.85052404,0.9020334,0.86991582,0.86410139,0.83996232,0.87678234,0.83778749,0.91772886,0.82278306,0.91856359,0.91693763,0.92021887,0.89891276,0.8416008,0.9503803,0.87482188,0.9405043,0.91155567,0.80085542,0.89755159,0.8651534,0.83884865,0.90088267,0.8892642,0.88890442,0.89609695,0.82254844,0.89581121,0.89761503,0.94042213,0.87804635,0.86006012,0.92550209,0.09713457,0.1066135,0.15965095,0.08635361,0.07226931,0.09592257,0.82680424,0.84127301,0.87525724,0.84385333,0.87040762,0.91010171,0.94833759,0.89998097,0.92073965,0.92106676,0.94351627,0.93887456,0.89105679,0.90594916,0.9193174,0.87225933,0.96752427,0.91429369
"cg15035590",0.87499816,0.87904237,0.90903192,0.87680277,0.91927959,0.88138524,0.88320365,0.86367594,0.89150078,0.83435391,0.87322572,0.83187114,0.91988289,0.93383773,0.9249822,0.93173591,0.92839769,0.93747208,0.90210321,0.92606514,0.93085681,0.96172327,0.95003057,0.94373526,0.91780594,0.91503617,0.90765259,0.95066874,0.92148168,0.91560514,0.91321702,0.92945644,0.90321522,0.90041652,0.92303259,0.92795305,0.09965485,0.12924238,0.15864749,0.14797486,0.11603273,0.12731931,0.95433471,0.91978216,0.91595519,0.88043437,0.90775062,0.92766315,0.93986676,0.92652058,0.94104256,0.93181247,0.93407851,0.93041283,0.93204831,0.93159022,0.9411297,0.92804767,0.93815771,0.93661765
"cg17995557",0.86153491,0.83397597,0.9161823,0.89723333,0.86926709,0.85164462,0.84822527,0.80927236,0.84324781,0.80115823,0.83580709,0.78447472,0.92187636,0.91176515,0.91300649,0.913053,0.90583979,0.92069399,0.90956033,0.92548966,0.95338382,0.91078322,0.89987827,0.89272478,0.8530886,0.89075948,0.90569325,0.87657775,0.88837526,0.90847926,0.89778809,0.90948852,0.90615664,0.88732279,0.91810461,0.87723667,0.06476091,0.07339906,0.11007986,0.07014407,0.0988632,0.14606474,0.68896077,0.74166358,0.89635066,0.77297396,0.81310989,0.88774626,0.90343903,0.91440191,0.90034888,0.92764802,0.883969,0.91089182,0.8949932,0.90458777,0.89909691,0.92038273,0.90940695,0.89672935
"cg16654610",0.8521745,0.84739858,0.85400205,0.89947777,0.82877983,0.88933428,0.87144286,0.82022667,0.86207202,0.82434703,0.85371826,0.84734892,0.92448581,0.90842095,0.93494593,0.86202139,0.86132443,0.92526244,0.90170315,0.92393305,0.91050573,0.87578372,0.89360319,0.89569396,0.79524797,0.88542205,0.89192747,0.87743536,0.89035716,0.85301585,0.91885067,0.92371806,0.93181842,0.94428738,0.90687092,0.88741705,0.0885544,0.06735606,0.13076537,0.05585319,0.08562333,0.1640879,0.8325583,0.92450208,0.8932427,0.87773621,0.87723623,0.86627036,0.89846884,0.91606155,0.90193992,0.90785966,0.9108969,0.87822629,0.89009592,0.71006612,0.88823918,0.84463471,0.82562747,0.89524381
"cg13356455",0.87842142,0.90624495,0.88109997,0.8842887,0.87051553,0.85582103,0.84969458,0.85564884,0.89562644,0.81835946,0.8735865,0.77129141,0.91824259,0.90240198,0.90085787,0.90759822,0.91095628,0.86831967,0.90525431,0.9199262,0.91296978,0.88166172,0.90414811,0.88760045,0.87059911,0.86366104,0.87677869,0.87664766,0.88036374,0.79484288,0.89572616,0.93542737,0.90754421,0.86717701,0.90211131,0.84570476,0.07824215,0.06549419,0.17890271,0.06718114,0.10964724,0.10029087,0.86051828,0.79344351,0.86998335,0.9066529,0.87160571,0.85725449,0.8837172,0.89127225,0.90279679,0.87089213,0.91439901,0.83079681,0.88958445,0.89885744,0.93708896,0.85417195,0.89763097,0.8821271
"cg18250453",0.88271339,0.91280165,0.92300736,0.86715885,0.92131333,0.90990121,0.87534417,0.85196168,0.9062617,0.85724053,0.86237965,0.83282742,0.91027878,0.90403353,0.94155346,0.90202508,0.94078591,0.93640492,0.92617988,0.92844546,0.90970375,0.90133208,0.93059406,0.92516057,0.86595729,0.92812165,0.88819456,0.90959636,0.86592265,0.88629005,0.91635062,0.94763361,0.90162271,0.92054194,0.93081879,0.92117134,0.12259468,0.09764726,0.20299449,0.09146193,0.09590886,0.11981473,0.85568035,0.86849278,0.85930228,0.84473855,0.86968401,0.91619498,0.91093458,0.91668538,0.89663933,0.92369593,0.93864287,0.91447597,0.90326797,0.90075733,0.87270456,0.86093855,0.87945491,0.88809511
"cg22212560",0.87799422,0.85631274,0.87733857,0.85417117,0.85192273,0.82116853,0.82815251,0.79799152,0.85890233,0.76822955,0.81938715,0.84196429,0.91092847,0.88585731,0.90149383,0.89675558,0.93551631,0.89789551,0.9117052,0.92349015,0.93328164,0.91218211,0.91658242,0.91681258,0.87368706,0.93996556,0.91307606,0.92278522,0.91885414,0.92254842,0.78144702,0.76669959,0.80174532,0.74348228,0.72666436,0.75779331,0.07631051,0.05634809,0.16688667,0.08053214,0.09458114,0.09774209,0.92086226,0.90099875,0.91847975,0.89399162,0.84465563,0.90926809,0.91005345,0.88621392,0.9097981,0.87757292,0.89909164,0.85780022,0.86911483,0.85447375,0.85955568,0.86787431,0.8709391,0.85132631
"cg20602300",0.8878895,0.8568061,0.8979492,0.8909967,0.89918,0.8644299,0.8853511,0.8411044,0.8753171,0.8327337,0.8523248,0.8722355,0.9238175,0.9263282,0.9541734,0.8998681,0.9219458,0.9135135,0.9135363,0.9229546,0.9596943,0.9178773,0.9353399,0.925845,0.9081351,0.9134707,0.9271009,0.9196489,0.9163978,0.9255935,0.9228866,0.9273748,0.9194996,0.9040446,0.9425676,0.9211128,0.1322394,0.1031218,0.2167078,0.1079466,0.1368896,0.1435014,0.9092744,0.9061827,0.9099252,0.8966494,0.9003822,0.9300917,0.9131551,0.9462033,0.9211667,0.9148843,0.9169975,0.9050628,0.9186134,0.9254357,0.9395432,0.9352844,0.9186955,0.9310484
"cg12604490",0.84614315,0.82617665,0.93296793,0.84588332,0.90293168,0.84568559,0.8475919,0.8466276,0.84878286,0.79097736,0.84453266,0.84552819,0.89085332,0.83078576,0.9114053,0.87545618,0.81501549,0.84391771,0.85608598,0.89296173,0.95990764,0.85660672,0.94326713,0.90296899,0.84759431,0.86794202,0.88144372,0.91115015,0.89866901,0.91099466,0.8755185,0.90662518,0.89797962,0.92864081,0.90218536,0.8984679,0.1049871,0.07021564,0.12514795,0.09724148,0.12313253,0.13353662,0.89634425,0.86197956,0.90352836,0.76368789,0.90322313,0.94456802,0.87835197,0.87263286,0.91470612,0.86643204,0.88639594,0.87763509,0.87317664,0.88191975,0.85314748,0.81299072,0.9068818,0.90739303
"cg21743182",0.87320426,0.81488575,0.85858546,0.83617665,0.89486561,0.84533531,0.83492062,0.80615702,0.87933191,0.79209482,0.85603583,0.80198322,0.89897754,0.88379012,0.90193217,0.86470253,0.88108419,0.90163292,0.90165614,0.87000915,0.89650965,0.88113709,0.86914171,0.89321851,0.89569653,0.88209948,0.89737948,0.87300431,0.8870482,0.86372849,0.86736563,0.89002621,0.87834664,0.86939385,0.87618142,0.88514521,0.10138696,0.05677887,0.17177786,0.09594053,0.11712383,0.1044763,0.89206193,0.85492625,0.85064702,0.86140101,0.85040075,0.85686949,0.89996856,0.89997565,0.89173767,0.90019878,0.89415204,0.86986567,0.88183674,0.87792795,0.88178283,0.90328501,0.88551836,0.88979793
"cg00760938",0.84420015,0.8152548,0.8491466,0.8007095,0.8522922,0.82304343,0.82393106,0.80590919,0.85301896,0.76094436,0.82051935,0.81716771,0.89104931,0.87022692,0.87386987,0.89873475,0.86791006,0.87799557,0.8861142,0.8937303,0.90314771,0.86447453,0.91814838,0.91921662,0.84520828,0.85806111,0.87549894,0.87800873,0.89940896,0.86351157,0.87387818,0.88197628,0.88282751,0.87844438,0.87963132,0.87618595,0.09940154,0.06969076,0.14912398,0.08567066,0.11698879,0.09936783,0.84850391,0.81620225,0.86700299,0.81444384,0.83135327,0.86742451,0.91136666,0.86692849,0.8899299,0.8930177,0.85332004,0.87620799,0.89076342,0.88859096,0.89244081,0.9046927,0.91565984,0.90072649
"cg23683962",0.89963103,0.90600149,0.88047582,0.86057325,0.90181543,0.88139597,0.8736915,0.86298377,0.88803521,0.8182912,0.85346099,0.83656638,0.89365156,0.92415201,0.916184,0.8973853,0.91616767,0.89809877,0.88886598,0.88767057,0.91725896,0.88803112,0.92029603,0.91243584,0.90788763,0.91154558,0.91202489,0.88621748,0.91028565,0.91903455,0.91028861,0.91809043,0.88580354,0.89235141,0.89209172,0.91558441,0.14414634,0.09785154,0.22803162,0.11030809,0.12079477,0.12135639,0.88267866,0.87196375,0.91366519,0.87993157,0.86264566,0.92427821,0.92171474,0.91946452,0.91392676,0.90598027,0.92629752,0.90287401,0.90999885,0.90492081,0.89959841,0.90405028,0.90338129,0.90193827
"cg26810157",0.86879927,0.83657214,0.85291307,0.84625273,0.84884035,0.83746729,0.82627864,0.8932766,0.82584086,0.8261722,0.88343674,0.84182731,0.88781349,0.90001716,0.90629157,0.89355967,0.92375115,0.84527076,0.90669371,0.89905966,0.90463316,0.91188673,0.93807058,0.9118632,0.86921312,0.89330717,0.83296228,0.90430889,0.88301446,0.83309905,0.84387908,0.88972247,0.90148095,0.86830763,0.85676153,0.90133182,0.09584337,0.0527239,0.14562199,0.09624964,0.11073193,0.08338043,0.79075634,0.77239625,0.84775634,0.8121437,0.82361532,0.82787686,0.81905304,0.85148638,0.84968855,0.88001071,0.87250462,0.83284967,0.79807994,0.79015908,0.78951569,0.75893786,0.84751944,0.78448431
"cg16148346",0.86478,0.8760344,0.8686435,0.8360274,0.8479935,0.8469179,0.8546485,0.8181639,0.8679998,0.7878008,0.842715,0.8024389,0.9043915,0.9144112,0.9074085,0.9161922,0.8810304,0.8964694,0.9275906,0.9022981,0.906493,0.9131704,0.8871858,0.8986474,0.8969943,0.9002005,0.875653,0.8980655,0.8913536,0.8745611,0.8919717,0.8691092,0.8950053,0.8896966,0.8407135,0.8782221,0.1327972,0.0710547,0.1890576,0.0825013,0.1297992,0.1445532,0.8998766,0.8876374,0.9123739,0.883425,0.8712354,0.9148514,0.8944976,0.8797666,0.8859286,0.8988536,0.8996924,0.8998861,0.8952232,0.8926909,0.9074266,0.8702732,0.9028412,0.9051381
"cg25683989",0.86594828,0.87866166,0.83212619,0.84503586,0.87520083,0.8453834,0.85045267,0.84762764,0.86260489,0.81623234,0.84826691,0.86590232,0.88853112,0.89199415,0.9018003,0.87818723,0.88966678,0.89548878,0.88606318,0.93272551,0.91775656,0.89971449,0.92517925,0.90977491,0.902157,0.90505442,0.92031655,0.90218089,0.89699798,0.91149731,0.86759984,0.89202437,0.89587365,0.89828787,0.88771986,0.89971356,0.12164332,0.08216075,0.17949679,0.10181175,0.10779483,0.09792178,0.89859882,0.89520569,0.9027836,0.88169696,0.86514376,0.90925431,0.85707579,0.89449691,0.88667579,0.83940555,0.91792703,0.8783792,0.81350577,0.76072345,0.78090649,0.75075195,0.80322943,0.76048032
"cg26121053",0.9317999,0.9298163,0.9432708,0.9146119,0.9649334,0.942156,0.9115714,0.9066202,0.943564,0.8380265,0.8833258,0.8712352,0.9876437,0.980286,0.992496,0.9790924,0.9830281,0.9904071,0.9608142,0.9728321,0.9858195,0.9651479,0.9858237,0.9845846,0.9282814,0.9586389,0.9586829,0.9700651,0.9674537,0.964203,0.9780958,0.9746119,0.9751888,0.9534362,0.9665532,0.9600111,0.15594,0.1974837,0.1756604,0.2278486,0.2020625,0.2575934,0.900695,0.9116183,0.9495516,0.9336223,0.9361673,0.9421568,0.9848644,0.9815061,0.9880924,0.9850427,0.9677353,0.9748985,0.9737695,0.9738926,0.9829097,0.9815378,0.9844722,0.9766344
"cg12976793",0.899618,0.870135,0.9047012,0.8967966,0.9066956,0.8817138,0.8832868,0.8871724,0.8909974,0.8222862,0.8604916,0.8422581,0.9210214,0.9318228,0.9417366,0.9389447,0.9316293,0.9279222,0.9387902,0.9110527,0.9303575,0.9206206,0.9182644,0.8957958,0.9157015,0.8956438,0.8988325,0.9148159,0.9208341,0.9102355,0.9359289,0.9463208,0.9360393,0.917296,0.9367066,0.9193211,0.1613713,0.162918,0.1776483,0.1885469,0.1375004,0.1276152,0.9052993,0.8841368,0.9207616,0.9196983,0.8944897,0.9216034,0.9282955,0.9377749,0.913093,0.9267848,0.9187497,0.9191772,0.9302583,0.9148706,0.9425296,0.9027227,0.9363091,0.9227457
"cg22381248",0.84858106,0.8568771,0.85817775,0.81559779,0.87380342,0.86003115,0.82236591,0.76991152,0.86885518,0.79644526,0.80479288,0.82840475,0.90484116,0.88759486,0.87966318,0.87837237,0.91021011,0.90047588,0.89280837,0.87447006,0.90085644,0.90008571,0.89168029,0.91244991,0.90021358,0.87262896,0.88939305,0.87203637,0.91044434,0.87293189,0.83390807,0.8448086,0.85678609,0.81761505,0.80394461,0.78793261,0.12783758,0.08397173,0.1780392,0.09511359,0.10277441,0.09022249,0.874744,0.87076634,0.82582584,0.83869726,0.81584775,0.87824462,0.90061893,0.86625073,0.92215269,0.89404147,0.89108058,0.88675003,0.87912735,0.86628828,0.88827269,0.86925512,0.87666667,0.89536565
"cg08905753",0.85963199,0.88168081,0.86103429,0.84056347,0.84786079,0.84582979,0.79972364,0.82565082,0.86506317,0.76927777,0.82635517,0.79994719,0.89490316,0.86913979,0.91138568,0.88633144,0.8750027,0.87349604,0.86800809,0.87257346,0.94296225,0.87680204,0.86627503,0.87022933,0.71907421,0.86828545,0.87154779,0.85366106,0.85800717,0.84087667,0.89419689,0.87397509,0.88764413,0.87330858,0.8658539,0.87462657,0.08276102,0.07496587,0.14069463,0.10933865,0.0976924,0.1387858,0.7592644,0.77840167,0.85513299,0.8625672,0.79504781,0.87242734,0.88218237,0.8761784,0.87372654,0.88043106,0.88611509,0.87224095,0.88316968,0.87802268,0.87986775,0.8777494,0.92036267,0.88744044
"cg22905350",0.80454247,0.83077217,0.8887111,0.80067,0.95147975,0.84075695,0.86828511,0.87500661,0.8582011,0.76645654,0.91205737,0.76042423,0.89236773,0.81226094,0.93193635,0.85663303,0.83197396,0.86491756,0.91501418,0.88156711,0.83999587,0.85113624,0.90790741,0.90813648,0.96875839,0.96505765,0.94013292,0.92747696,0.93813701,0.90748267,0.88816257,0.8479725,0.90995288,0.87624916,0.88903123,0.88193278,0.12328491,0.08097288,0.23222821,0.1346866,0.07700573,0.14588227,0.90515309,0.84405088,0.91243447,0.89517665,0.90032733,0.88981985,0.89007812,0.8816357,0.89177833,0.91796375,0.93091701,0.84614253,0.95944817,0.90034548,0.90779568,0.85305954,0.91232949,0.87280982
